Id                                                Versions ProjectName                     
--                                                -------- -----------                     
MSTest.TestFramework                              {2.1.1}  Tinkering                       
MSTest.TestAdapter                                {2.1.1}  Tinkering                       
coverlet.collector                                {1.3.0}  Tinkering                       
Microsoft.NET.Test.Sdk                            {16.7.1} Tinkering                       
MSTest.TestFramework                              {2.1.1}  VisualBasicLanguageExensionTest 
MSTest.TestAdapter                                {2.1.1}  VisualBasicLanguageExensionTest 
coverlet.collector                                {1.3.0}  VisualBasicLanguageExensionTest 
Microsoft.NET.Test.Sdk                            {16.7.1} VisualBasicLanguageExensionTest 
MSTest.TestFramework                              {2.1.1}  SqlClientTest                   
MSTest.TestAdapter                                {2.1.1}  SqlClientTest                   
coverlet.collector                                {1.3.0}  SqlClientTest                   
Microsoft.NET.Test.Sdk                            {16.7.1} SqlClientTest                   
System.Data.SqlClient                             {4.8.2}  SqlClientTest                   
MSTest.TestFramework                              {2.1.1}  ConfigurationHelperTest         
MSTest.TestAdapter                                {2.1.1}  ConfigurationHelperTest         
coverlet.collector                                {1.3.0}  ConfigurationHelperTest         
Microsoft.NET.Test.Sdk                            {16.7.1} ConfigurationHelperTest         
MSTest.TestFramework                              {2.1.1}  ValidationWithAnnotationTest    
MSTest.TestAdapter                                {2.1.1}  ValidationWithAnnotationTest    
coverlet.collector                                {1.3.0}  ValidationWithAnnotationTest    
Microsoft.NET.Test.Sdk                            {16.7.1} ValidationWithAnnotationTest    
MSTest.TestFramework                              {2.1.1}  EntityFrameworkCoreProductTest  
MSTest.TestAdapter                                {2.1.1}  EntityFrameworkCoreProductTest  
coverlet.collector                                {1.3.0}  EntityFrameworkCoreProductTest  
Microsoft.NET.Test.Sdk                            {16.7.1} EntityFrameworkCoreProductTest  
MSTest.TestFramework                              {2.1.1}  LanguageExtensionTest           
MSTest.TestAdapter                                {2.1.1}  LanguageExtensionTest           
coverlet.collector                                {1.3.0}  LanguageExtensionTest           
Microsoft.NET.Test.Sdk                            {16.7.1} LanguageExtensionTest           
System.ComponentModel.Annotations                 {5.0.0}  ValidationLibrary               
Vsxmd                                             {1.4.5}  CommonLanguageExtensions        
Microsoft.EntityFrameworkCore                     {5.0.4}  EntityCoreExtensions            
Microsoft.EntityFrameworkCore.Relational          {5.0.4}  EntityCoreExtensions            
Newtonsoft.Json                                   {13.0.1} SqlOperationsEntityFrameworkCore
Microsoft.EntityFrameworkCore.SqlServer           {5.0.4}  SqlOperationsEntityFrameworkCore
Microsoft.Extensions.Configuration.FileExtensions {5.0.0}  ConfigurationHelper             
Microsoft.Extensions.Configuration.Binder         {5.0.0}  ConfigurationHelper             
Microsoft.Extensions.Configuration.Json           {5.0.0}  ConfigurationHelper             
Microsoft.Extensions.Configuration                {5.0.0}  ConfigurationHelper             
System.Data.SqlClient                             {4.8.2}  SqlOperations                   
System.Data.SqlClient                             {4.8.2}  BasicRead                       
